id,term,location,jobposition,department,agency,dateposted,link
25669,Full-Time,"Littleton, CO",Mechanical Engineer Sr,Mechanical Engineering,Lockheed Martin,04-09-2015,http://www.applytracking.com/track.aspx/1HhV6
27446,Full-Time,"Melbourne, FL",Mechanical Field Engineer,Technicians,Lockheed Martin,04-11-2015,http://www.applytracking.com/track.aspx/1I5pA
2075,Part Time,"Huntsville, Alabama",Banquet Server,Catering,U.S. Space & Rocket Center Foundation,03-12-2015,https://spacecampfoundation.applicantstack.com/x/apply/a2i2304vftwm
2628,Full-Time,"Edwards Air Force Base, CA",Senior Mission Planner / IT Skills / F-35 / CSO / Flight Ops,Systems Engineering: Other,Lockheed Martin,03-13-2015,http://www.applytracking.com/track.aspx/aFyE
36349,Full Time,"Washington DC, District of Columbia",Media Relations Specialist,"Headquarters, NASA",NASA,04-21-2015,https://www.usajobs.gov/GetJob/ViewDetails/401156300?PostingChannelID=RESTAPI
32224,Full-time,"Hawthorne, CA",Supplier Performance Lead,Manufacturing and Production - Operations,SpaceX,04-17-2015,http://hire.jobvite.com/CompanyJobs/Apply.aspx?c=qz49Vfwr&j=oloU0fwn&nl=0
1505,Full-Time,"Colorado Springs, CO",Software Engineer,Software Engineering,Lockheed Martin,03-11-2015,http://www.applytracking.com/track.aspx/1D5DQ
115,Full-time,"Hawthorne, CA",Dynamics Certification Engineer,Structures - Dynamics Design and Analysis,SpaceX,03-10-2015,http://hire.jobvite.com/CompanyJobs/Apply.aspx?c=qz49Vfwr&j=oWrmZfws&nl=0
42483,Full-Time,"Littleton, CO",Electronics Engineer Sr,Electronics Engineering,Lockheed Martin,04-28-2015,http://www.applytracking.com/track.aspx/1KRtm
485,Full-time,"Seattle, WA","Satellite Lead Analyst, Thermal Loads",Avionics - Hardware Design,SpaceX,03-10-2015,http://hire.jobvite.com/CompanyJobs/Apply.aspx?c=qz49Vfwr&j=o3Iq0fwV&nl=0
128,Full-time,"Hawthorne, CA",Aerodynamics Engineer,Structures - Dynamics Design and Analysis,SpaceX,03-10-2015,http://hire.jobvite.com/CompanyJobs/Apply.aspx?c=qz49Vfwr&j=oGYYZfwl&nl=0
18097,Full-time,"Cape Canaveral, FL","Chemical Engineer (Launch Site), Cape",Rocket Launch Facility - Cape Canaveral,SpaceX,04-01-2015,http://hire.jobvite.com/CompanyJobs/Apply.aspx?c=qz49Vfwr&j=obnM0fw4&nl=0
136,Full-time,"Cape Canaveral, FL","Payload Propulsion Fluids Engineer, Cape",Rocket Launch Facility - Cape Canaveral,SpaceX,03-10-2015,http://hire.jobvite.com/CompanyJobs/Apply.aspx?c=qz49Vfwr&j=oX7i0fw6&nl=0
87,Full-time,"Hawthorne, CA",Structures Engineer - Landing Legs,Structures - Mechanical Design and Development,SpaceX,03-10-2015,http://hire.jobvite.com/CompanyJobs/Apply.aspx?c=qz49Vfwr&j=oTsk0fwp&nl=0
88,Full-time,"Hawthorne, CA",Structures Engineer - Falcon 9,Structures - Mechanical Design and Development,SpaceX,03-10-2015,http://hire.jobvite.com/CompanyJobs/Apply.aspx?c=qz49Vfwr&j=oYAj0fwB&nl=0
7083,Full-time,"Fort Walton Beach, FL",Aircraft Maintenance Support Engineer,Technicians,Lockheed Martin,03-18-2015,http://www.applytracking.com/track.aspx/1EDJi
351,Full-time,"Hawthorne, CA",Integration & Test Engineer (Falcon 9 - Launch Vehicle),Manufacturing and Production - Engineering,SpaceX,03-10-2015,http://hire.jobvite.com/CompanyJobs/Apply.aspx?c=qz49Vfwr&j=oSJSZfwc&nl=0
